lat,lon,category,date,city_name,town_name
37.729969,139.072494,軽傷,2023-08-20 07:36,新潟市秋葉区,新潟市秋葉区天ケ沢
37.900119,139.108236,軽傷,2023-08-20 18:44,新潟市東区,新潟市東区東中野山
37.907350,139.085217,軽傷,2023-08-21 06:43,新潟市東区,新潟市東区紫竹卸新町
37.921397,139.127772,軽傷,2023-08-22 19:01,新潟市東区,新潟市東区石動
37.854700,139.024806,軽傷,2023-08-24 14:00,新潟市江南区,新潟市江南区天野１丁目
37.921047,139.079575,軽傷,2023-08-24 14:00,新潟市東区,新潟市東区山木戸
37.921828,139.082836,軽傷,2023-08-24 15:04,新潟市東区,新潟市東区山木戸８丁目
37.869125,139.095306,軽傷,2023-08-24 15:30,新潟市江南区,新潟市江南区亀田四ツ興野２丁目
37.948231,139.099814,重傷,2023-08-26 11:35,新潟市東区,新潟市東区空港西２丁目
37.916847,139.089464,軽傷,2023-08-28 15:33,新潟市東区,新潟市東区牡丹山
37.900164,139.103783,軽傷,2023-08-29 13:54,新潟市東区,新潟市東区中野山５丁目
37.839781,139.113342,軽傷,2023-08-29 16:40,新潟市秋葉区,新潟市秋葉区中野
37.805969,139.131525,軽傷,2023-08-30 07:57,新潟市秋葉区,新潟市秋葉区古田ノ内大野開
37.870947,139.091669,軽傷,2023-08-30 13:33,新潟市江南区,新潟市江南区鵜ノ子２丁目
37.866461,139.104842,軽傷,2023-08-31 18:17,新潟市江南区,新潟市江南区元町３丁目
37.856453,139.094664,軽傷,2023-09-02 12:48,新潟市江南区,新潟市江南区茅野山３丁目
37.923211,139.103856,軽傷,2023-09-02 17:02,新潟市東区,新潟市東区上木戸
37.773519,139.104569,軽傷,2023-09-02 23:50,新潟市秋葉区,新潟市秋葉区古津字北郷
37.902192,139.075650,軽傷,2023-09-04 12:22,新潟市東区,新潟市東区紫竹５丁目
37.913794,139.085100,軽傷,2023-09-04 15:45,新潟市東区,新潟市東区中山７丁目
37.888739,139.117919,軽傷,2023-09-05 18:36,新潟市江南区,新潟市江南区茗荷谷
37.840717,139.095872,軽傷,2023-09-06 09:10,新潟市江南区,新潟市江南区割野字沼
37.845900,139.030297,軽傷,2023-09-06 17:53,新潟市江南区,新潟市江南区天野
37.911967,139.080278,軽傷,2023-09-08 10:44,新潟市東区,新潟市中央区本馬越２丁目
37.841069,139.147556,軽傷,2023-09-08 21:30,新潟市江南区,新潟市江南区木津
37.850656,139.121289,軽傷,2023-09-09 10:51,新潟市江南区,新潟市江南区二本木
37.817014,139.066461,軽傷,2023-09-10 14:23,新潟市秋葉区,新潟市秋葉区覚路津三枚潟
37.946214,139.097806,軽傷,2023-09-10 20:25,新潟市東区,新潟市東区物見山３丁目
